Weight,ProductVisibility,MRP,EstablishmentYear
1.949562293,-1.19198566,-0.536555255,0.139890583
-0.929145626,-0.547892943,-0.868936917,1.095511689
0.527549948,0.728220497,1.629847525,0.020437945
-1.156898822,-1.028711771,0.226697396,1.095511689
-0.420458283,1.125250743,1.508110379,-1.532446353
-0.582313346,-0.018025626,-0.38628905,-0.099014693
1.625852166,0.373994369,-1.471108468,1.334416966
-0.420458283,-1.020487051,-0.97023514,-1.532446353
-1.390432557,1.224717636,-0.732637524,0.498248498
-1.464423443,-1.230936556,0.742175039,1.095511689
0.989992987,0.81157685,-0.36691479,1.095511689
-1.324534424,0.85837456,-0.900148665,0.498248498
-0.420458283,2.220481155,1.608259803,-1.532446353
-1.741889267,0.585529382,-0.302789128,0.139890583
1.024676215,-0.907291414,-1.439938788,-1.293541076
-1.429740216,0.308237909,0.171726533,0.139890583
1.741462926,-0.220084248,0.934467887,0.498248498
1.279019886,-0.55721565,0.82835765,1.334416966
-0.420458283,-0.761666399,-0.506961534,-1.532446353
0.296328428,2.679757336,0.852543924,0.020437945
-1.206611449,0.944120495,0.54988219,-1.293541076
1.591168938,2.461315848,1.600169666,0.737153775
0.307889504,0.01982413,-1.509345691,-0.099014693
-0.420458283,-0.777053226,0.021418259,-1.532446353
1.591168938,-0.615692633,0.642494842,0.737153775
-1.279446228,-0.547320116,1.107855704,0.020437945
0.157595516,-0.617296268,-1.511559153,0.737153775
-1.501418887,0.559392831,0.32952951,-0.099014693
0.342572732,-0.137289452,1.677197479,-0.099014693
0.111351213,-0.871106064,-0.395997215,0.737153775
-0.420458283,0.056261605,-1.762570216,-1.532446353
-0.651679802,-0.887629862,0.872471549,1.334416966
0.041984757,-1.208099623,-1.595570372,1.334416966
-0.420458283,-0.830834441,1.241472407,-1.532446353
-1.511823855,0.673052293,0.375898939,1.095511689
-0.420458283,-1.168428228,1.036746636,-1.532446353
-0.420458283,0.298024032,-0.981477195,-1.532446353
-0.444736542,-0.296377938,-0.436959196,0.020437945
1.394630646,0.517668105,0.827250919,1.095511689
-0.420458283,-1.017150327,-0.608813123,-1.532446353
2.030489825,-0.741991219,0.03810983,1.334416966
1.718340774,0.095070796,-0.394421256,0.020437945
-0.899086828,2.379522476,0.532637254,1.095511689
0.700966087,-1.021372044,0.061868944,1.334416966
-1.296787842,-0.106764897,1.232828905,0.020437945
-0.490980846,1.285499595,-0.466552918,-1.293541076
-0.154553535,2.679757336,-1.378453746,0.020437945
0.122912288,-0.234720085,0.683414755,0.737153775
-0.038942775,1.387282046,1.733275073,0.737153775
1.371508494,0.219422006,-0.260804553,-0.099014693
-1.465579551,0.226998393,-1.358526121,-0.099014693
0.076667985,1.215597009,-0.555460287,-1.293541076
0.180717668,-0.422369763,0.647348924,1.095511689
1.938001217,0.752568153,-0.3023199,1.095511689
-0.420458283,-0.522352739,0.771726691,-1.532446353
-1.032039202,-1.11447966,0.773344718,0.139890583
0.238523048,-1.349860166,0.625249906,-1.293541076
1.140286975,0.88219067,-1.660760696,-1.293541076
-0.420458283,1.359534973,1.977771958,-1.532446353
-0.444736542,-0.724872076,-0.823120853,0.498248498
-0.925677303,-0.607626104,0.061826876,0.737153775
1.938001217,-0.353131787,1.196763074,1.095511689
-0.420458283,-1.034956892,0.005237985,-1.532446353
2.088295205,0.281795391,-0.715392588,1.095511689
-1.488701703,0.458110811,0.1889294,0.498248498
-0.420458283,-0.007823561,-0.81941557,-1.532446353
-1.12915224,0.42258953,0.401149875,1.095511689
0.539111024,0.154135987,1.966487835,-0.099014693
0.388817036,-0.488850354,0.651096276,-1.293541076
1.359947418,-0.127165877,1.304491338,0.498248498
1.221214507,-1.02197006,0.632233312,0.139890583
-0.420458283,-0.667131245,-0.531189876,-1.532446353
-1.065566322,-0.35266118,-0.301724466,1.334416966
-1.04244417,0.060088261,1.686394347,0.139890583
0.932187607,-0.734103333,1.864636246,0.498248498
0.157595516,-0.409143454,0.528805765,0.498248498
-0.420458283,2.679757336,-0.261357918,-1.532446353
0.238523048,1.560444937,0.123227779,-0.099014693
-0.420458283,2.679757336,1.802724045,-1.532446353
0.874382227,0.009350552,0.067192254,-1.293541076
1.279019886,-0.831949917,0.1889294,0.737153775
-1.613561324,-1.224889821,-0.653480388,1.334416966
-1.574253665,-0.630408379,-0.706279858,-0.099014693
-1.319909994,-0.744903206,0.771257463,-1.293541076
-1.373090943,-0.680395057,0.592378061,1.095511689
0.874382227,-1.066177612,-0.518799023,0.737153775
0.307889504,-1.017796197,1.448838799,-0.099014693
1.591168938,-1.233228739,1.366956904,-0.099014693
-0.834344803,1.56166284,-1.533658171,0.498248498
1.255897734,2.679757336,1.637937662,0.020437945
1.625852166,-1.349860166,0.400596509,0.498248498
-0.420458283,-0.164809985,1.328677612,-1.532446353
-0.420458283,-0.483017907,-0.537704055,-1.532446353
-1.359217652,0.310060987,-0.672343351,1.334416966
0.065106909,-0.013013435,-0.305513886,-1.293541076
-1.01354148,-0.991817191,-1.502957719,-0.099014693
1.371508494,-0.211616273,-0.009835558,1.095511689
1.429313874,-0.397187952,0.074217729,1.334416966
-1.452862367,0.025800118,0.723270006,0.498248498
-0.119870307,-0.125083078,-0.968575044,-1.293541076
-1.400837526,-1.143082591,0.163636396,1.334416966
0.966870835,0.620122784,-0.708962547,1.095511689
0.781893619,-0.770245525,0.4571854,1.095511689
-1.314129456,-1.217837362,-0.306025183,-0.099014693
-0.420458283,1.6551536,0.817584824,-1.532446353
-0.420458283,0.577097657,1.773088255,-1.532446353
-0.420458283,0.396121405,1.740769776,-1.532446353
0.388817036,-0.472860294,-1.423205148,0.139890583
-0.420458283,0.153670638,-1.491078162,-1.532446353
1.255897734,-1.349860166,1.759632739,1.334416966
1.255897734,-0.840555902,0.291292286,0.020437945
-0.962672746,1.143017488,0.803022577,-0.099014693
1.140286975,1.194502639,-1.040790843,0.020437945
-0.420458283,1.402936712,1.47310921,-1.532446353
-1.420491355,2.386694349,-0.738598337,0.737153775
-0.420458283,-1.032013183,-0.548988178,-1.532446353
-0.956892208,0.369821613,-1.376366491,-0.099014693
-0.916428442,-1.059409271,-0.784372333,-1.293541076
-1.251699645,-0.553892179,-0.722460132,0.737153775
1.857073685,-0.219430072,-0.389567174,0.498248498
-0.420458283,-0.675954315,0.61068766,-1.532446353
1.602730014,0.91743589,-1.746943308,1.095511689
-1.581190311,-1.034618993,-0.912539519,0.737153775
-1.593907494,1.042838318,-0.86842562,0.139890583
-0.050503851,1.057272347,1.281285589,1.334416966
-0.420458283,-1.349860166,0.734596198,-1.532446353
-0.304847523,-1.162771586,-0.329230932,0.498248498
-1.515292178,0.368669281,-1.653735221,1.334416966
0.342572732,-1.071919882,-0.499936059,1.334416966
0.342572732,-1.073277861,-0.53067858,-1.293541076
-1.590439172,-0.992334943,0.595656185,1.334416966
0.111351213,-0.871413994,-0.397615242,-1.293541076
-1.430896323,-0.758915942,-0.511815616,0.737153775
-0.953423885,-0.252897125,-0.761719949,0.020437945
0.423500264,2.485803414,-0.965892355,0.139890583
-0.420458283,0.972837373,0.165807789,-1.532446353
1.024676215,-0.726679586,-1.641344367,1.334416966
0.458183492,1.376072441,-1.043473533,0.139890583
-0.420458283,2.679757336,-0.749371164,-1.532446353
-1.545350975,0.803590523,0.174451291,-1.293541076
-1.523384931,-1.349860166,0.766403381,0.020437945
-1.193894266,2.16010899,-1.689801052,-0.099014693
0.66628286,-0.30104453,-0.706237789,0.139890583
0.677843935,-0.073204036,-0.201063745,0.737153775
-0.444736542,-0.726254933,-0.832829017,0.737153775
-0.822783727,-0.303165625,-0.227974777,0.498248498
-0.737231764,-0.268033831,0.187353442,0.737153775
-0.420458283,0.948628979,0.788971627,-1.532446353
1.683657546,-0.847183812,-0.565126383,1.095511689
-0.420458283,-1.076144561,-1.411921025,-1.532446353
